"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIOW0003","WALKER 3.2 W, MI US","2014",,,,"       183","        80",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"40.06",,,,,,,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","2014",,,,"       128","        70",,,,,,,,,,,"3.03",,,,,,,,,,,,,,,,"30.89",,,,,,,,,,,
"USC00203268","GLADSTONE 4 NW, MI US","2014",,,,"       164","        98",,,,,,,,,,,"2.15",,,,,,,,,,,,,,,,"39.19",,,,,,,,,,,
"USC00202851","FLINT 7 W, MI US","2014",,"430","430","       145","        79",,,"        30","       154","        79","       128","         1","-15",,,"1.88","90",,,,,,,,,,,,,,,"35.13",,"45.0","54.5","35.5",,,,,,,
"USC00205567","MONTAGUE 4 NW, MI US","2014",,,,,,,,,,,,,,,,,,"7751",,,"7751",,,,,,,,,,,,,,,,,,,,,,
"USC00200552","BATTLE CREEK 5 NW, MI US","2014",,"397","397","       155","        82","       92","        33","        20","       154","        74","       137","         1","-16","22","11.5","2.90","90","7332",,,"7332",,,,,,,,,,,"34.72","103.3","45.7","56.5","34.9",,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","2014",,"259","259","       138","        88",,,"        20","       167","        92","       118","         0","-15",,,"3.85","86","8282",,,"8282",,,,,,,,,,,"36.47",,"42.9","51.6","34.1",,,,,,,
"USC00201522","CHESANING, MI US","2014",,,,"       131","        72",,,,,,,,,,,"3.26",,,,,,,,,,,,,,,,"35.67",,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","2014",,"485","485","       154","        82","       89","        28","        26","       161","        85","       131","         4","-17","15","12.0","1.55","94","7823",,,"7823",,,,,,,,,,,"29.76","67.3","44.6","54.7","34.6",,,,,,,
"US1MIOW0002","HOLLAND 3.9 NNE, MI US","2014",,,,"       174","        97",,,,,,,,,,,"2.13",,,,,,,,,,,,,,,,"40.70",,,,,,,,,,,
"USC00206662","PORT AUSTIN WWTP, MI US","2014",,,,"       133","        78",,,,,,,,,,,"1.17",,,,,,,,,,,,,,,,"29.85",,,,,,,,,,,
"USC00205690","MUNISING, MI US","2014",,,,"       190","       118",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"44.94",,,,,,,,,,,
"USC00206663","PORT HOPE, MI US","2014",,,,,,,,,,,,,,,,,,"7879",,,"7879",,,,,,,,,,,,,,,,,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","2014",,,,"       149","        91",,,,,,,,,,,"2.45",,,,,,,,,,,,,,,,"39.91",,,,,,,,,,,
"USC00203391","GRAYLING, MI US","2014",,"220","220","       183","        92","      120","        36","        44","       187","        98","       110","         0","-29","22","5.0","1.58","89","9418",,,"9418",,,,,,,,,,,"41.00","66.3","40.2","50.5","29.9",,,,,,,
"USC00208043","TAHQUAMENON FALLS STATE PARK, MI US","2014",,"92","92","       149","       113",,"        62","        61","       202","       112","        75","         0","-30",,"9.5","2.28","88",,,,,,,,,,,,,,,"45.63","203.4","35.8","46.4","25.1",,,,,,,
"USC00205452","MILFORD GM PROVING GROUND, MI US","2014",,"441","441","       125","        81",,,"        30","       148","        76","       120","         1","-18",,,"2.16","93",,,,,,,,,,,,,,,"32.56",,"44.9","55.0","34.8",,,,,,,
"USC00205451","MILAN WWTP, MI US","2014",,"449","449","       151","        78",,,"        24","       146","        74","       128","         1","-16",,,"1.84","90","7411",,,"7411",,,,,,,,,,,"30.22",,"45.4","55.2","35.7",,,,,,,
"USC00207072","ROCKFORD 3 SW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207070","ROCKFORD, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204808","LEXINGTON WATER PLANT, MI US","2014",,,,"       137","        66",,,,,,,,,,,"2.30",,,,,,,,,,,,,,,,"33.22",,,,,,,,,,,
"USC00203278","GOODRICH, MI US","2014",,,,"       127","        76",,,,,,,,,,,"1.99",,,,,,,,,,,,,,,,"32.99",,,,,,,,,,,
"USC00201896","CROSS VILLAGE 1 E, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202984","FRANKFORT 2 NE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204130","ISHPEMING WWTP, MI US","2014",,"131","131","       177","        93",,,"        72","       200","       120","        82","         0","-28",,,"1.90","87","10642",,,"10642",,,,,,,,,,,"34.82",,"35.8","46.5","25.2",,,,,,,
"USC00208972","WHITMORE LAKE 1 NW, MI US","2014",,"367","367","       124","        82",,,"        31","       158","        81","       117","         1","-17",,,"3.13","92","7584",,,"7584",,,,,,,,,,,"35.24",,"44.1","54.4","33.9",,,,,,,
"US1MILV0015","PINCKNEY 3.4 NW, MI US","2014",,,,"       154","        85",,,,,,,,,,,"3.32",,,,,,,,,,,,,,,,"37.87",,,,,,,,,,,
"US1MIVB0002","GRAND JUNCTION 1.3 ENE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.97",,,,,,,,,,,
"USC00208293","TROUT LAKE 1 SW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIVB0004","PAW PAW 3.6 NNE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.45",,,,,,,,,,,
"USC00203925","HOPKINS 1 N, MI US","2014",,,,"       164","        83","       96","        40",,,,,,,"24","8.6","1.74",,"7296",,,"7296",,,,,,,,,,,"35.89","130.0",,,,,,,,,,
"USC00200417","BAD AXE, MI US","2014",,"346","346","       172","        70",,,"        26","       162","        87","       115","         0","-14",,,"1.58","89","8149",,,"8149",,,,,,,,,,,"32.06",,"43.6","52.5","34.6",,,,,,,
"USC00200779","BIG RAPIDS WATER TREATMENT PLANT, MI US","2014",,"237","237","       172","        91","      101","        24","        30","       178","        94","       121","         0","-21","15","10.0","2.96","87",,,,,,,,,,,,,,,"41.01","90.8","42.1","52.4","31.9",,,,,,,
"USC00200770","BIG BAY 1 NW, MI US","2014",,"190","190","       173","        89","      171","        45","        41","       181","       110","        69","         1","-23","32","13.2","3.34","90","9978",,,"9978",,,,,,,,,,,"39.75","179.6","38.0","46.4","29.7",,,,,,,
"USW00094815","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","2014","8.1","587","587","       132","        70",,,"        16","       138","        71","       136","         2","-13",,,"1.44","92","7080",,,"7080",,,,,,,,,,,"28.15",,"46.5","56.0","37.0","       280","       270",,,"46.1","66.0",
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2014","8.3","485","485","       126","        66",,,"        22","       144","        81","       128","         1","-16",,,"1.13","91","7706",,,"7706",,,,,,,,,,,"29.06",,"45.4","54.3","36.5","       280","       280",,,"47.0","62.0",
"USC00209110","WYANDOTTE, MI US","2014",,,,"       142","        77",,,,,,,,,,,"4.39",,,,,,,,,,,,,,,,"39.65",,,,,,,,,,,
"USW00094814","HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US","2014","7.8","201","201","       155","        70","      123","        23","        37","       180","        96","       114","         0","-29","26","4.5","1.47","88","9014",,,"9014",,,,,,,,,,,"30.82","56.0","41.0","51.0","31.0","       110",,,,"33.1",,
"USW00054810","CHATHAM 1 SE, MI US","2014",,"87","87","       179","       101",,,"        62","       189","       107","        77","         0","-32",,,"2.03","85","10434",,,"10434",,,,,,,,,,,"42.15",,"36.4","46.6","26.1",,,,,,,
"US1MIKN0053","ADA 1.8 W, MI US","2014",,,,"       175","        87",,"        31",,,,,,,,"9.3","2.91",,,,,,,,,,,,,,,,"41.73","97.3",,,,,,,,,,
"USC00204104","IRONWOOD, MI US","2014",,"151","151","       193","        95",,,"        66","       187","       124","        89","         0","-28",,,"1.75","87","10669",,,"10669",,,,,,,,,,,"44.95",,"36.3","45.7","26.8",,,,,,,
"USC00205434","MIDLAND, MI US","2014",,"400","400","       138","        68",,,"        19","       151","        81","       118","         0","-11",,,"1.88","89","7723",,,"7723",,,,,,,,,,,"30.57",,"44.8","53.5","36.0",,,,,,,
"USC00208706","WATTON 2 WSW, MI US","2014",,"119","119",,,,,"        51","       184","       123","        69","         0","-22",,,,"86","10686",,,"10686",,,,,,,,,,,,,"36.4","45.0","27.7",,,,,,,
"USC00203932","HOUGHTON LAKE 6 WSW, MI US","2014",,,,"       144","        76","      113","        39",,,,,,,"20","5.0","1.67",,,,,,,,,,,,,,,,"31.37","58.5",,,,,,,,,,
"US1MIKN0056","GRAND RAPIDS 5.5 NNE, MI US","2014",,,,"       159","        84",,,,,,,,,,,"2.25",,,,,,,,,,,,,,,,"41.10",,,,,,,,,,,
"USC00207188","RUDYARD 5 SE, MI US","2014",,"38","38","       154","       107","      170","        42","        63","       192","       108","        87","         0","-34","31","10.0","1.53","84","10830",,,"10830",,,,,,,,,,,"41.21","102.9","35.9","47.0","24.9",,,,,,,
"US1MISW0005","DURAND 6.2 WNW, MI US","2014",,,,"       165","        84",,,,,,,,,,,"2.36",,,,,,,,,,,,,,,,"37.02",,,,,,,,,,,
"US1MIOT0001","GAYLORD 2.2 SE, MI US","2014",,,,"       182","       104","      141","        45",,,,,,,"30","12.8","1.85",,,,,,,,,,,,,,,,"43.42","158.0",,,,,,,,,,
"USC00203628","HARRISVILLE 2 NNE, MI US","2014",,"127","127","       140","        65","      107","        15","        29","       167","        87","        69","         0","-16","16","7.4","2.70","85","8887",,,"8887",,,,,,,,,,,"29.24","44.9","41.1","48.8","33.3",,,,,,,
"US1MIOD0003","LUZERNE 2.4 NE, MI US","2014",,,,"       144","        80",,,,,,,,,,,"1.40",,,,,,,,,,,,,,,,"35.42",,,,,,,,,,,
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","2014",,"452","452","       137","        72","       76","        15","        20","       135","        68","       128","         3","-13","15","6.5","2.59","92","7374",,,"7374",,,,,,,,,,,"37.15","58.9","45.9","54.8","36.9",,,,,,,
"USC00200230","ANN ARBOR U OF MICH, MI US","2014",,"600","600","       182","        90",,,"        14","       137","        66","       141","         1","-14",,,"1.60","93","7091","71",,"7091","76",,"27",,"27",,"48",,"52",,"39.14",,"47.4","56.5","38.2",,,,,,,
"USC00205488","MILLINGTON 3 SE, MI US","2014",,,,"       125","        79",,,,,,,,,,,"4.04",,,,,,,,,,,,,,,,"36.24",,,,,,,,,,,
"USC00203504","GULL LAKE BIOLOGICAL STATION, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40.15",,,,,,,,,,,
"USC00203744","HERMAN, MI US","2014",,"82","82","       198","       108","      185","        69","        73","       209","       134","        70","         0","-32","56","19.7","1.54","86",,,,,,,,,,,,,,,"41.77","303.6","33.5","43.3","23.7",,,,,,,
"US1MIBZ0001","BENZONIA 5.3 S, MI US","2014",,,,"       193","       102",,,,,,,,,,,"3.74",,,,,,,,,,,,,,,,"47.52",,,,,,,,,,,
"USC00204161","JACOBSVILLE, MI US","2014",,"77","77","       184","        96","      171","        47","        58","       194","       113","        65","         1","-24","32","8.9","2.04","90","10842",,,"10842",,,,,,,,,,,"37.76","159.6","35.5","45.4","25.6",,,"       270",,,,"40.9"
"USC00207312","SALINE 4 SW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.79",,,,,,,,,,,
"USC00203078","GARDEN CORNERS, MI US","2014",,"109","109","       162","        84",,,"        64","       184","       100","        97","         0","-30",,,"2.27","88","10193",,,"10193",,,,,,,,,,,"39.85",,"37.6","48.4","26.9",,,"       180",,,,"123.0"
"USC00200361","AUBURN 2 NE, MI US","2014",,,,,,,,,,,,,,,,,,"8135",,,"8135",,,,,,,,,,,,,,,,,,,,,,
"US1MIWS0007","ANN ARBOR 3.1 SE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.23",,,,,,,,,,,
"USC00206220","ONTONAGON 6 SE, MI US","2014",,,,,,,,,,,,,,,,,,"9224",,,"9224",,,,,,,,,,,,,,,,,,,,,,
"USC00206583","PICKFORD 3 NE, MI US","2014",,"86","86","       163","        89","      156","        55","        57","       180","       100","       109","         0","-30","29","9.0","2.56","86","9923",,,"9923",,,,,,,,,,,"39.97","129.6","38.5","49.3","27.6",,,,,,,
"USW00014814","ALPENA WASTEWATER PLANT, MI US","2014",,"257","257","       198","        76","      108","        21","        32","       150","        90","        93","         1","-13","19","12.0","2.68","90","8876",,,"8876",,,,,,,,,,,"38.12","54.5","42.0","49.5","34.4",,,,,,,
"USC00204280","KEARSARGE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202308","DUNDEE, MI US","2014",,,,"       119","        68",,,,,,,,,,,"1.92",,,,,,,,,,,,,,,,"29.44",,,,,,,,,,,
"USC00203518","GWINN SHAG LAKE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203639","HARVEY, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.30",,,,,,,,,,,
"USC00205816","NEWBERRY CORRECTIONAL FACILITY, MI US","2014",,"114","114","       168","        96",,,"        40","       174","       102","        83","         0","-22",,,"1.69","85","9045",,,"9045",,,,,,,,,,,"36.48",,"38.3","47.4","29.3",,,,,,,
"USC00200925","BOYNE FALLS, MI US","2014",,"407","407","       152","       105","      132","        51","        31","       164","        90","       123","         4","-26","28","11.5","1.75","90","8442",,,"8442",,,,,,,,,,,"42.87","147.9","43.1","52.7","33.5",,,,,,,
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","2014","9.2","568","568","       128","        56",,,"        16","       140","        76","       134","         2","-12",,,"1.55","90","7417",,,"7417",,,,,,,,,,,"29.40",,"46.5","55.5","37.4","       330","       230",,,"40.9","59.1",
"US1MIKN0031","BYRON CENTER 2.9 NE, MI US","2014",,,,"       153","        89",,,,,,,,,,,"1.60",,,,,,,,,,,,,,,,"40.46",,,,,,,,,,,
"USC00203632","HART 3 WSW, MI US","2014",,,,"       164","        98","      110","        44",,,,,,,"25","7.0","2.81",,"8109",,,"8109",,,,,,,,,,,"43.19","109.1",,,,,,,,,,
"USW00014817","CADILLAC, MI US","2014",,"251","251","       189","        83",,,"        36","       181","        98","       108","         0","-20",,,"2.33","89","8981",,,"8981",,,,,,,,,,,"36.48",,"41.3","50.6","32.0",,,,,,,
"USC00202783","FIFE LAKE 2 WNW, MI US","2014",,"179","179","       174","        92","      128","        39","        43","       184","       104","       106","         0","-24","26","6.8","1.84","88","9423",,,"9423",,,,,,,,,,,"38.89","94.7","39.6","49.6","29.6",,,,,,,
"USC00204967","LUPTON 1 S, MI US","2014",,"128","128",,,,,"        51","       190","        92","       116","         0","-27",,,,"88","9440",,,"9440",,,,,,,,,,,,,"39.8","51.4","28.2",,,,,,,
"USC00202423","EAST TAWAS, MI US","2014",,"207","207","       127","        73","       97","        14","        47","       177","        81","       112","         0","-24","26","9.6","2.80","89","8848",,,"8848",,,,,,,,,,,"41.11","39.7","41.7","52.1","31.3",,,,,,,
"USC00208774","WELLSTON 1 N, MI US","2014",,"328","328","       186","        98","      129","        48","        27","       170","        89","       120","         0","-26","28","15.1","3.11","89","8392",,,"8392",,,,,,,,,,,"43.15","147.4","42.8","52.8","32.8",,,,,,,
"USR0000MDOE","DOE LAKE MICHIGAN, MI US","2014",,"84","84",,,,,"        73","       206","       103","        94","         0","-34",,,,"87","10222",,,"10222",,,,,,,,,,,,,"36.1","48.4","23.9",,,,,,,
"US1MIKN0039","WYOMING 0.5 NNE, MI US","2014",,,,"       165","        83",,,,,,,,,,,"1.60",,,,,,,,,,,,,,,,"37.94",,,,,,,,,,,
"USC00209188","YALE 1 NNW, MI US","2014",,"274","274","       118","        66",,,"        32","       160","        78","       115","         2","-19",,,"3.54","90","7662",,,"7662",,,,,,,,,,,"31.96",,"43.2","53.7","32.6",,,,,,,
"USC00208772","WELLSTON TIPPY DAM, MI US","2014",,,,"       152","        93",,,,,,,,,,,"2.38",,,,,,,,,,,,,,,,"41.13",,,,,,,,,,,
"US1MIHL0001","LITCHFIELD 0.3 ENE, MI US","2014",,,,"       163","        79",,,,,,,,,,,"1.64",,,,,,,,,,,,,,,,"35.17",,,,,,,,,,,
"USC00204258","KALKASKA 11 SE, MI US","2014",,"160","160","       189","        97","      141","        39","        44","       185","        99","        99","         0","-26","26","5.5","1.85","88",,,,,,,,,,,,,,,"40.41","99.7","39.6","49.4","29.7",,,,,,,
"USC00207407","SCOTTVILLE 2 SE, MI US","2014",,,,,,,,,,,,,,,,,,"8210",,,"8210",,,,,,,,,,,,,,,,,,,,,,
"US1MILN0007","ADRIAN 5.2 NE, MI US","2014",,,,"       131","        76",,,,,,,,,,,"2.44",,,,,,,,,,,,,,,,"32.90",,,,,,,,,,,
"US1MIMK0001","LAKE CITY 5.0 SSW, MI US","2014",,,,"       175","        81",,,,,,,,,,,"2.26",,,,,,,,,,,,,,,,"34.44",,,,,,,,,,,
"USC00204257","KALKASKA, MI US","2014",,"213","213","       168","        90","      137","        52","        41","       179","       104","       103","         0","-29","23","14.0","1.74","88","9513",,,"9513",,,,,,,,,,,"35.57","130.0","39.8","49.5","30.0",,,,,,,
"US1MIMB0009","NEW BALTIMORE 0.4 SSE, MI US","2014",,,,"       144","        79",,,,,,,,,,,"2.34",,,,,,,,,,,,,,,,"36.35",,,,,,,,,,,
"USC00205591","MORAN, MI US","2014",,"71","71","       168","        99","      162","        31","        56","       185","        98","        97","         0","-28","26","7.8","2.11","84","10056",,,"10056",,,,,,,,,,,"44.24","89.7","38.0","48.2","27.7",,,,,,,
"USC00206680","PORT HURON, MI US","2014",,,,"       128","        79","       81","        15",,,,,,,"16","7.0","1.80",,"7351",,,"7351",,,,,,,,,,,"33.30","50.0",,,,,,,,,,
"USC00203295","GRAND HAVEN WASTEWATER PLANT, MI US","2014",,"350","350","       138","        82",,"        33","        10","       148","        82","       113","         0","-9",,"11.0","2.80","87",,,,,,,,,,,,,,,"40.75","105.1","44.9","52.8","37.1",,,,,,,
"USC00207891","STEVENSVILLE 1 SE, MI US","2014",,,,"       156","        78","       80","        28",,,,,,,"21","8.0","2.50",,,,,,,,,,,,,,,,"37.65","90.6",,,,,,,,,,
"USC00208184","THREE RIVERS, MI US","2014",,"485","485","       161","        93","       88","        29","        22","       154","        78","       131","         2","-16","16","12.0","2.35","90","7634",,,"7634",,,,,,,,,,,"42.88","77.2","45.3","55.2","35.4",,,,,,,
"USC00207096","ROGERS CITY HOEFT SP, MI US","2014",,"189","189",,,"      108","        27","        36","       169","        91","        92","         1","-16","20","6.0",,"90","9059",,,"9059",,,,,,,,,,,,"58.9","40.7","49.6","31.8",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","2014",,"465","465","       168","        87",,,"        25","       157","        72","       134","         1","-15",,,"1.51","92","7659",,,"7659",,,,,,,,,,,"34.30",,"45.4","56.1","34.7",,,,,,,
"USR0000MWAT","WATERSMEET MICHIGAN, MI US","2014",,"170","170",,,,,"        74","       195","       117","        95","         0","-31",,,,"88","10327",,,"10327",,,,,,,,,,,,,"36.9","47.9","25.9",,,,,,,
"USC00203858","HOLLAND, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200342","ATLANTA, MI US","2014",,"127","127",,,,,"        53","       189","        96","       110","         2","-31",,,,"90","9787",,,"9787",,,,,,,,,,,,,"38.9","50.4","27.4",,,,,,,
"USC00201675","COLDWATER ST SCHOOL, MI US","2014",,"441","441","       147","        91","       76","        15","        22","       150","        74","       130","         1","-17","15","7.0","2.02","91","7593",,,"7593",,,,,,,,,,,"38.72","41.7","45.3","54.8","35.8",,,,,,,
"USC00204944","LOWELL, MI US","2014",,,,"       126","       100",,,,,,,,,,,"2.22",,,,,,,,,,,,,,,,"44.30",,,,,,,,,,,
"USC00201435","CLARKSBURG, MI US","2014",,"95","95","       164","        84","      168","        50","        86","       209","       121","        91","         0","-34","36","12.0","1.65","88","11133",,,"11133",,,,,,,,,,,"32.50","157.0","34.3","47.0","21.7",,,,,,,
"USC00202094","DETOUR VILLAGE, MI US","2014",,"57","57","       145","        89","      132","        35","        46","       177","       102","        70","         0","-19","23","10.0","1.55","79","9878",,,"9878",,,,,,,,,,,"39.45","72.8","38.4","46.1","30.6",,,,,,,
"US1MIHG0006","CALUMET 5.8 ENE, MI US","2014",,,,"       189","        99",,,,,,,,,,,"1.96",,,,,,,,,,,,,,,,"40.30",,,,,,,,,,,
"US1MIKN0014","GRANDVILLE 1.3 WSW, MI US","2014",,,,"       188","       108","      105","        42",,,,,,,"26","9.0","1.88",,,,,,,,,,,,,,,,"45.42","139.5",,,,,,,,,,
"USC00203188","GLENNIE 2 SE, MI US","2014",,"103","103","       102","        75","       91","        14","        48","       193","        87","       102","         0","-28","15","5.2","4.54","85",,,,,,,,,,,,,,,"35.60","33.0","39.3","50.1","28.6",,,,,,,
"US1MIKN0011","LOWELL 1.4 ESE, MI US","2014",,,,"       152","        83",,,,,,,,,,,"2.02",,,,,,,,,,,,,,,,"42.35",,,,,,,,,,,
