file_order,col_name,col_type,length,col_description,codes,code_map
71,MONUSE,Num,8,Months in use,0 - 12,"{'00001 - 06436': 'continuous numerical range', '1': 'Building owner', '2': 'Party responsible for operation of energy systems', '3': 'Both (either they have equal input, or are the same person)', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range'}"
72,OCCUPYP,Num,8,Percent occupancy,"0 - 100
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Building owner', '2': 'Party responsible for operation of energy systems', '3': 'Both (either they have equal input, or are the same person)', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range'}"
73,LODOCCP,Num,8,Lodging room percent occupancy,"0 - 100
Missing=Not applicable","{'00001 - 06436': 'continuous numerical range', '1': 'Building owner', '2': 'Party responsible for operation of energy systems', '3': 'Both (either they have equal input, or are the same person)', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range'}"
74,OPEN24,Num,8,Open 24 hours a day,"1=Yes
2=No","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both (either they have equal input, or are the same person)', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range'}"
75,OPNMF,Num,8,Open during week,"1=All five days
2=Some of these days
3=Not open at all Monday through Friday","{'00001 - 06436': 'continuous numerical range', '1': 'All five days', '2': 'Some of these days', '3': 'Not open at all Monday through Friday', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range'}"
76,OPNWE,Num,8,Open on weekend,"1=Yes
2=No","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Not open at all Monday through Friday', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range'}"
77,WKHRS,Num,8,Total hours open per week,0 - 168,"{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Not open at all Monday through Friday', '4': 'Other', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range'}"
78,WKHRSC,Num,8,Weekly hours category,"1=No hours
2=1 to 39
3=40 to 48
4=49 to 60
5=61 to 84
6=85 to 167
7=168","{'00001 - 06436': 'continuous numerical range', '1': 'No hours', '2': '1 to 39', '3': '40 to 48', '4': '49 to 60', '5': '61 to 84', '6': '85 to 167', '7': '168', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range'}"
79,NWKER,Num,8,Number of employees,"0 - 6,500","{'00001 - 06436': 'continuous numerical range', '1': 'No hours', '2': '1 to 39', '3': '40 to 48', '4': '49 to 60', '5': '61 to 84', '6': '85 to 167', '7': '168', '8': 'More than 100', '9': 'State government', '11': 'Prison or correctional facility', '12': 'Other type of government complex', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': 'Local government', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
80,NWKERC,Num,8,Number of employees category,"1=None
2=1 to 4
3=5 to 9
4=10 to 19
5=20 to 49
6=50 to 99
7=100 to 249
8=250 to 499
9=500 to 999
10=1,000 to 2,499
11=2,500 to 4,999
12=5,000 or More","{'00001 - 06436': 'continuous numerical range', '1': 'None', '2': '1 to 4', '3': '5 to 9', '4': '10 to 19', '5': '20 to 49', '6': '50 to 99', '7': '100 to 249', '8': '250 to 499', '9': '500 to 999', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '1,000 to 2,499', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
81,HT1,Num,8,Energy used for main heating,"1=Yes
2=No","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '5 to 9', '4': '10 to 19', '5': '20 to 49', '6': '50 to 99', '7': '100 to 249', '8': '250 to 499', '9': '500 to 999', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '1,000 to 2,499', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
82,HT2,Num,8,Energy used for secondary heating,"1=Yes
2=No","{'00001 - 06436': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': '5 to 9', '4': '10 to 19', '5': '20 to 49', '6': '50 to 99', '7': '100 to 249', '8': '250 to 499', '9': '500 to 999', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', '1,001 - 2,100,000': 'continuous numerical range', '10': '1,000 to 2,499', '1 - 9': 'continuous numerical range', '994': '10 - 14', '995': 'More than 10', '0 - 4': 'continuous numerical range', 'Missing': 'Not applicable', '7 - 50': 'continuous numerical range', '1 - 30': 'continuous numerical range', '1 - 10': 'continuous numerical range', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Elementary school', '29': 'High school', '30': 'Preschool/daycare', '31': 'Other classroom education', '32': 'Fast food', '33': 'Restaurant/cafeteria', '34': 'Other food service', '35': 'Hospital/inpatient health', '36': 'Nursing home/assisted living', '37': 'Dormitory/fraternity/sorority', '38': 'Hotel/resort', '39': 'Motel/inn/bed and breakfast', '40': 'Other lodging', '42': 'Retail store', '43': 'Other retail', '44': 'Post office/postal center', '46': 'Vehicle service/repair shop', '47': 'Vehicle storage/maintenance', '48': 'Other service', '49': 'Other', '50': 'Strip shopping mall', '51': 'Enclosed mall', '52': 'Courthouse/probation office', '54': 'Middle/junior high school', '55': 'Multi-grade school (any K-12)', '25 - 2,000': 'continuous numerical range', '99995': 'More than 1,000', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '12 - 10,000': 'continuous numerical range', '0 - 1,000': 'continuous numerical range', '15 - 250': 'continuous numerical range', '9995': 'More than 250', '2 - 1,000': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '0 - 200': 'continuous numerical range', '996': 'Withheld to protect confidentiality', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
