file_order,col_name,col_type,length,format,col_description,codes,code_map
171.0,DHAIR,Char,1.0,$YESNO.,District heat system: Central air handler,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
172.0,DHPKG,Char,1.0,$YESNO.,District heat system: Packaged unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
173.0,DHDUCT,Char,1.0,$YESNO.,District heat system: Duct reheat,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
174.0,HPHPKG,Char,1.0,$YESNO.,Heat pump heating system: Packaged unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
175.0,HPHSPLT,Char,1.0,$YESNO.,Heat pump heating system: Split system,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
176.0,HPHROOM,Char,1.0,$YESNO.,Heat pump heating system: Individual room heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
177.0,HPHMINI,Char,1.0,$YESNO.,Heat pump heating system: Ductless mini-split,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
178.0,HPHVRF,Char,1.0,$YESNO.,Heat pump heating system: Variable refrigerant flow,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
179.0,HPHAIR,Char,1.0,$YESNO.,Heat pump heating type: Air source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
180.0,HPHGRD,Char,1.0,$YESNO.,Heat pump heating type: Ground source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
181.0,HPHDUAL,Char,1.0,$YESNO.,Heat pump heating type: Dual source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
182.0,HPHWTR,Char,1.0,$YESNO.,Heat pump heating type: Water loop,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Both factory-assembled and custom built-up packaged units', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
183.0,HPHBKUP,Char,1.0,$HPBKUP.,Heat pump backup energy source,"'1' = 'Electric resistance backup'
'2' = 'Natural/bottled gas backup (dual fuel)'
'3' = 'No backup source'
Missing = Not applicable","{'00001 - 06720': 'continuous numerical range', '1': 'Electric resistance backup', '2': 'Natural/bottled gas backup (dual fuel)', '3': 'No backup source', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', '8': 'No one major type', '9': 'Dont know', '01': 'None', '02': '1 to 4', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '11': '2,500 to 4,999', '12': '5,000 or More', '13': 'Industrial complex', '14': 'Transportation complex such as a terminal, depot, or airport', '15': 'Other type of campus or complex', '16': 'Fire station/police station', '17': 'Other public order and safety', '18': 'Medical office (diagnostic)', '23': 'Library', '24': 'Recreation', '25': 'Social/meeting', '26': 'Other public assembly', '91': 'Other', 'Missing': 'Not applicable', '1,001 - 1,500,000': 'continuous numerical range', '03': '5 to 9', '09': '500 to 999', '10': '1,000 to 2,499', '1 - 14': 'continuous numerical range', '994': '15 to 25', '995': 'More than 200', '0 - 7': 'continuous numerical range', '6 - 50': 'continuous numerical range', '1 - 50': 'continuous numerical range', '1 - 20': 'continuous numerical range', '1946 - 2012': 'continuous numerical range', '97': 'Withheld to protect confidentiality', '19': 'Clinic/other outpatient health', '20': 'Refrigerated warehouse', '21': 'Religious worship', '22': 'Entertainment/culture', '27': 'College/university', '28': 'Other', '1 - 100': 'continuous numerical range', '20 - 1,500': 'continuous numerical range', '99,995': 'More than 900', '0 - 15,000': 'continuous numerical range', '999995': 'More than 15,000', '10 - 8,000': 'continuous numerical range', '0 - 700': 'continuous numerical range', '25 - 250': 'continuous numerical range', '9,995': 'More than 250', '16 - 250': 'continuous numerical range', '2 - 900': 'continuous numerical range', '0 - 200': 'continuous numerical range', '0 - 12': 'continuous numerical range', '0 - 100': 'continuous numerical range', '0 - 168': 'continuous numerical range', '0 - 6,500': 'continuous numerical range'}"
