File order,"Variable
name",Variable type,Length,Label,Values/Format codes
255,HTPHP_EL,Num,8,Pct heated by electric heat pump,"1 - 100
Missing=Not applicable"
256,SLFCNP_EL,Num,8,Pct heated by electric space heater,"1 - 100
Missing=Not applicable"
257,FIREPLP_EL,Num,8,Pct heated by electric fireplace,"1 - 100
Missing=Not applicable"
258,REHEATP_EL,Num,8,Pct heated by electric duct reheat,"1 - 100
Missing=Not applicable"
259,OTHTP_EL,Num,8,Pct heated by electric heating equipment,"1 - 100
Missing=Not applicable"
260,FURNP_NG,Num,8,Pct heated by natural gas furnace,"1 - 100
Missing=Not applicable"
261,PKGHP_NG,Num,8,Pct heated by natural gas packaged unit,"1 - 100
Missing=Not applicable"
262,BOILP_NG,Num,8,Pct heated by natural gas boiler,"1 - 100
Missing=Not applicable"
263,HTPHP_NG,Num,8,Pct heated by natural gas heat pump,"1 - 100
Missing=Not applicable"
264,SLFCNP_NG,Num,8,Pct heated by natural gas space heater,"1 - 100
Missing=Not applicable"
265,FIREPLP_NG,Num,8,Pct heated by natural gas fireplace,"1 - 100
Missing=Not applicable"
266,OTHTP_NG,Num,8,Pct heated by other natural gas heating equipment,"1 - 100
Missing=Not applicable"
267,FURNP_FK,Num,8,Pct heated by fuel oil furnace,"1 - 100
Missing=Not applicable"
268,BOILP_FK,Num,8,Pct heated by fuel oil boiler,"1 - 100
Missing=Not applicable"
269,SLFCNP_FK,Num,8,Pct heated by fuel oil space heater,"1 - 100
Missing=Not applicable"
270,OTHTP_FK,Num,8,Pct heated by other fuel oil heating equipment,"1 - 100
Missing=Not applicable"
271,FURNP_PR,Num,8,Pct heated by propane furnace,"1 - 100
Missing=Not applicable"
272,PKGHP_PR,Num,8,Pct heated by propane packaged unit,"1 - 100
Missing=Not applicable"
273,BOILP_PR,Num,8,Pct heated by propane boiler,"1 - 100
Missing=Not applicable"
274,HTPHP_PR,Num,8,Pct heated by propane heat pump,"1 - 100
Missing=Not applicable"
275,SLFCNP_PR,Num,8,Pct heated by propane space heater,"1 - 100
Missing=Not applicable"
276,FIREPLP_PR,Num,8,Pct heated by propane fireplace,"1 - 100
Missing=Not applicable"
277,OTHTP_PR,Num,8,Pct heated by propane heating equipment,"1 - 100
Missing=Not applicable"
278,STHWP_ST,Num,8,Pct heated by district steam heating system,"1 - 100
Missing=Not applicable"
279,STHWP_HW,Num,8,Pct heated by district hot water heating system,"1 - 100
Missing=Not applicable"
280,FURNP_WO,Num,8,Pct heated by wood furnace,"1 - 100
Missing=Not applicable"
281,SLFCNP_WO,Num,8,Pct heated by wood space heater,"1 - 100
Missing=Not applicable"
282,FIREPLP_WO,Num,8,Pct heated by wood fireplace,"1 - 100
Missing=Not applicable"
283,OTHTP_WO,Num,8,Pct heated by other wood heating equipment,"1 - 100
Missing=Not applicable"
284,FURNP_CO,Num,8,Pct heated by coal furnace,"1 - 100
Missing=Not applicable"
285,BOILP_CO,Num,8,Pct heated by coal boiler,"1 - 100
Missing=Not applicable"
286,OTHTP_CO,Num,8,Pct heated by other coal heating equipment,"1 - 100
Missing=Not applicable"
287,SOTHERMP_SO,Num,8,Pct heated by solar thermal heating,"1 - 100
Missing=Not applicable"
288,FURNP_OT,Num,8,Pct heated by other source furnace,"1 - 100
Missing=Not applicable"
289,PKGHP_OT,Num,8,Pct heated by other source packaged unit,"1 - 100
Missing=Not applicable"
290,BOILP_OT,Num,8,Pct heated by other source boiler,"1 - 100
Missing=Not applicable"
291,SLFCNP_OT,Num,8,Pct heated by other source space heater,"1 - 100
Missing=Not applicable"
292,OTHTP_OT,Num,8,Pct heated by other source other heating equipment,"1 - 100
Missing=Not applicable"
293,MAINHT,Num,8,Main heating equipment,"1=Electric furnace
2=Electric packaged unit
3=Electric boiler
4=Electric heat pump
5=Electric space heater
6=Electric fireplace
7=Electric duct reheat
8=Other electric heating equipment
9=Natural gas furnace
10=Natural gas packaged unit
11=Natural gas boiler
12=Natural gas heat pump
13=Natural gas space heater
14=Natural gas fireplace
15=Other natural gas heating equipment
16=Fuel oil furnace
17=Fuel oil boiler
18=Fuel oil space heater
19=Other fuel oil heating equipment
20=Propane furnace
21=Propane packaged unit
22=Propane boiler
23=Propane heat pump
24=Propane space heater
25=Propane fireplace
26=Other propane heating equipment
27=District steam heating system
28=District hot water heating system
29=Wood furnace
30=Wood space heater
31=Wood fireplace
32=Other wood heating equipment
33=Coal furnace
34=Coal boiler
35=Other coal heating equipment
36=Solar thermal heating
37=Other source furnace
38=Other source packaged unit
39=Other source boiler
40=Other source space heater
41=Other source fireplace
42=Other source other heating equipment"
294,NWMNHT,Num,8,Main heating replaced,"1=Yes
2=No
Missing=Not applicable"
295,COOLP,Num,8,Percent cooled,"1 - 100
Missing=Not applicable"
296,ELCOOL,Num,8,Electricity used for air conditioning,"1=Yes
2=No"
297,NGCOOL,Num,8,Natural gas used for air conditioning,"1=Yes
2=No"
298,FKCOOL,Num,8,Fuel oil used for air conditioning,"1=Yes
2=No"
299,PRCOOL,Num,8,Propane used for air conditioning,"1=Yes
2=No"
300,STCOOL,Num,8,District steam used for air conditioning,"1=Yes
2=No"
301,CWCOOL,Num,8,District chilled water used for air conditioning,"1=Yes
2=No"
302,OTCOOL,Num,8,Other energy source used for air conditioning,"1=Yes
2=No"
303,RCAC,Num,8,Residential-type split system used for cooling,"1=Yes
2=No
Missing=Not applicable"
304,PKGCL,Num,8,Packaged central units used for cooling,"1=Yes
2=No
Missing=Not applicable"
305,CHILLR,Num,8,Central chillers used for cooling,"1=Yes
2=No
Missing=Not applicable"
306,HTPMPC,Num,8,Heat pumps used for cooling,"1=Yes
2=No
Missing=Not applicable"
307,ACWNWL,Num,8,Individual room or portable A/C used for cooling,"1=Yes
2=No
Missing=Not applicable"
308,EVAPCL,Num,8,Swamp or evaporative A/C used for cooling,"1=Yes
2=No
Missing=Not applicable"
309,OTCLEQ,Num,8,Other type of equipment used for cooling,"1=Yes
2=No
Missing=Not applicable"
310,CHWT,Num,8,District chilled water system used for cooling,"1=Yes
2=No
Missing=Not applicable"
311,RCAC_EL,Num,8,Residential-type split system electric A/C,"1=Yes
2=No
Missing=Not applicable"
312,PKGCL_EL,Num,8,Packaged electric A/C units (rooftop units),"1=Yes
2=No
Missing=Not applicable"
313,CHILLR_EL,Num,8,Central chillers powered by electricity,"1=Yes
2=No
Missing=Not applicable"
314,HTPMPC_EL,Num,8,Heat pumps for A/C (electric),"1=Yes
2=No
Missing=Not applicable"
315,ACWNWL_EL,Num,8,Individual room or portable A/C (electric),"1=Yes
2=No
Missing=Not applicable"
316,EVAPCL_EL,Num,8,Swamp or evaporative A/C (electric),"1=Yes
2=No
Missing=Not applicable"
317,OTCLEQ_EL,Num,8,Other type of A/C powered by electricity,"1=Yes
2=No
Missing=Not applicable"
318,HPCPTHP,Num,8,Heat pumps (for A/C) are PTHPs,"1=Yes
2=No
3=Heat pumps are both PTHP and split-system
Missing=Not applicable"
319,HPCAIR,Num,8,Air source heat pump for A/C,"1=Yes
2=No
Missing=Not applicable"
320,HPCGRD,Num,8,Geothermal heat pump for A/C,"1=Yes
2=No
Missing=Not applicable"
321,HPCDUAL,Num,8,Combination air source and geothermal heat pump for A/C,"1=Yes
2=No
Missing=Not applicable"
322,HPCWTR,Num,8,Water loop heat pump for A/C,"1=Yes
2=No
Missing=Not applicable"
323,ACVRF,Num,8,VRF system,"1=Yes
2=No
5=Don't know"
324,RMACPTHP,Num,8,Individual A/Cs are PTHPs,"1=Yes
2=No
3=Individual air conditioners are both PTHP and other types
5=Don't know
Missing=Not applicable"
325,CHILLR_NG,Num,8,Central chillers fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
326,OTCLEQ_NG,Num,8,Other type of A/C fueled by natural gas,"1=Yes
2=No
Missing=Not applicable"
327,CHILLR_FK,Num,8,Central chillers fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
328,OTCLEQ_FK,Num,8,Other type of A/C fueled by fuel oil,"1=Yes
2=No
Missing=Not applicable"
329,CHILLR_PR,Num,8,Central chillers fueled by propane,"1=Yes
2=No
Missing=Not applicable"
330,OTCLEQ_PR,Num,8,Other type of A/C fueled by propane,"1=Yes
2=No
Missing=Not applicable"
331,CHILLR_ST,Num,8,Central chillers fueled by district steam,"1=Yes
2=No
Missing=Not applicable"
332,OTCLEQ_ST,Num,8,Other type of A/C fueled by district steam,"1=Yes
2=No
Missing=Not applicable"
333,OTCLEQ_OT,Num,8,Other type of A/C powered by other source,"1=Yes
2=No
Missing=Not applicable"
334,DIST_CW,Num,8,District chilled water system,"1=Yes
2=No
Missing=Not applicable"
335,CWAIR,Num,8,Central air handlers for chilled water distribution,"1=Yes
2=No
Missing=Not applicable"
336,CWFNCL,Num,8,Fan coil or induction units for chilled water distribution,"1=Yes
2=No
Missing=Not applicable"
337,CWBEAM,Num,8,Chilled beam for chilled water distribution,"1=Yes
2=No
Missing=Not applicable"
338,CWWTLP,Num,8,Water loop heat pump for chilled water distribution,"1=Yes
2=No
Missing=Not applicable"
339,CWOTD,Num,8,Other type of chilled water distribution,"1=Yes
2=No
Missing=Not applicable"
340,CHLAIR,Num,8,Central air handlers for central chiller distribution,"1=Yes
2=No
Missing=Not applicable"
341,CHLFNCL,Num,8,Fan coil or induction units for central chiller distribution,"1=Yes
2=No
Missing=Not applicable"
342,CHLBEAM,Num,8,Chilled beam for central chiller distribution,"1=Yes
2=No
Missing=Not applicable"
343,CHLWTLP,Num,8,Water loop heat pump for central chiller distribution,"1=Yes
2=No
Missing=Not applicable"
344,CHLOTD,Num,8,Other type of central chiller distribution,"1=Yes
2=No
Missing=Not applicable"
345,CHLAIRCL,Num,8,Air-cooled central chiller,"1=Yes
2=No
Missing=Not applicable"
346,CHLWTRCL,Num,8,Water-cooled central chiller,"1=Yes
2=No
Missing=Not applicable"
347,CHLABSRP,Num,8,Absorption central chiller,"1=Yes
2=No
Missing=Not applicable"
348,RCACP_EL,Num,8,Pct cooled by electric residential-type split system  A/C,"1 - 100
Missing=Not applicable"
349,PKGCP_EL,Num,8,Pct cooled by electric packaged A/C units,"1 - 100
Missing=Not applicable"
350,CHILP_EL,Num,8,Pct cooled by electric central chillers,"1 - 100
Missing=Not applicable"
351,HTPCP_EL,Num,8,Pct cooled by electric heat pumps,"1 - 100
Missing=Not applicable"
352,ACWNWP_EL,Num,8,Pct cooled by electric individual A/C,"1 - 100
Missing=Not applicable"
353,EVAPP_EL,Num,8,Pct cooled by electric swamp coolers,"1 - 100
Missing=Not applicable"
354,OTCLP_EL,Num,8,Pct cooled by electric other type of A/C,"1 - 100
Missing=Not applicable"
355,CHILP_NG,Num,8,Pct cooled by natural gas central chillers,"1 - 100
Missing=Not applicable"
356,OTCLP_NG,Num,8,Pct cooled by natural gas other type of A/C,"1 - 100
Missing=Not applicable"
357,CHILP_FK,Num,8,Pct cooled by fuel oil central chillers,"1 - 100
Missing=Not applicable"
358,OTCLP_FK,Num,8,Pct cooled by fuel oil other type of A/C,"1 - 100
Missing=Not applicable"
359,CHILP_PR,Num,8,Pct cooled by propane central chillers,"1 - 100
Missing=Not applicable"
360,OTCLP_PR,Num,8,Pct cooled by propane other type of A/C,"1 - 100
Missing=Not applicable"
361,CHILP_ST,Num,8,Pct cooled by district steam central chillers,"1 - 100
Missing=Not applicable"
362,OTCLP_ST,Num,8,Pct cooled by district steam other type of A/C,"1 - 100
Missing=Not applicable"
363,CHWTP_CW,Num,8,Pct cooled by district chilled water system,"1 - 100
Missing=Not applicable"
364,OTCLP_OT,Num,8,Pct cooled by other source A/C equipment,"1 - 100
Missing=Not applicable"
365,MAINCL,Num,8,Main air-conditioning equipment,"1=Residential-type split system
2=Packaged unit
3=Electric chiller
4=Heat pump
5=Individual air conditioner
6=Swamp cooler
7=Other electric air conditioning equipment
8=Natural gas chiller
9=Other natural gas air conditioning equipment
10=Fuel oil/diesel/kerosene chiller
11=Other fuel oil/diesel/kerosene air conditioning equipment
12=Propane chiller
13=Other propane air conditioning equipment
14=Steam chiller
15=Other steam air conditioning equipment
16=District chilled water system
17=Other source air conditioning equipment
Missing=Not applicable"
366,NWMNCL,Num,8,Main cooling replaced,"1=Yes
2=No
Missing=Not applicable"
367,EMCS,Num,8,Building automation system (BAS),"1=Yes
2=No
Missing=Not applicable"
368,EMCSHT,Num,8,BAS controls heating,"1=Yes
2=No
Missing=Not applicable"
369,EMCSCL,Num,8,BAS controls A/C,"1=Yes
2=No
Missing=Not applicable"
370,EMCSLT,Num,8,BAS controls lighting,"1=Yes
2=No
Missing=Not applicable"
371,SMRTTHRM,Num,8,Smart thermostats,"1=Yes
2=No
Missing=Not applicable"
372,HWRDHT,Num,8,How reduce heating,"1=Setting a programmable thermostat to automatically change the temperature
2=Manually adjusting the temperature setting
3=Turning the equipment on or off
4=None of these methods
Missing=Not applicable"
373,HWRDCL,Num,8,How reduce A/C,"1=Setting a programmable thermostat to automatically change the temperature
2=Manually adjusting the temperature setting
3=Turning the equipment on or off
4=None of these methods
Missing=Not applicable"
374,VAV,Num,8,Variable air volume (VAV) system,"1=Yes
2=No
Missing=Not applicable"
375,DOAS,Num,8,Dedicated outside air system (DOAS),"1=Yes
2=No
Missing=Not applicable"
376,DCV,Num,8,Demand controlled ventilation (DCV),"1=Yes
2=No
Missing=Not applicable"
377,ECN,Num,8,Economizer cycle,"1=Yes
2=No
Missing=Not applicable"
378,MAINT,Num,8,Regular HVAC maintenance,"1=Yes
2=No
Missing=Not applicable"
379,ELWATR,Num,8,Electricity used for water heating,"1=Yes
2=No"
380,NGWATR,Num,8,Natural gas used for water heating,"1=Yes
2=No"
381,FKWATR,Num,8,Fuel oil used for water heating,"1=Yes
2=No"
382,PRWATR,Num,8,Propane used for water heating,"1=Yes
2=No"
383,STWATR,Num,8,District steam used for water heating,"1=Yes
2=No"
384,HWWATR,Num,8,District hot water used for water heating,"1=Yes
2=No"
385,WOWATR,Num,8,Wood used for water heating,"1=Yes
2=No"
386,COWATR,Num,8,Coal used for water heating,"1=Yes
2=No"
387,SOWATR,Num,8,Solar thermal used for water heating,"1=Yes
2=No"
388,OTWATR,Num,8,Other energy source used for water heating,"1=Yes
2=No"
389,WTHTEQ,Num,8,Water heating equipment,"1=Centralized water heaters
2=""Point-of-use"" water heaters
3=Both types
Missing=Not applicable"
390,BOOSTWT,Num,8,Booster water heaters,"1=Yes
2=No
Missing=Not applicable"
391,ELCOOK,Num,8,Electricity used for cooking,"1=Yes
2=No"
392,NGCOOK,Num,8,Natural gas used for cooking,"1=Yes
2=No"
393,FKCOOK,Num,8,Fuel oil used for cooking,"1=Yes
2=No"
394,PRCOOK,Num,8,Propane used for cooking,"1=Yes
2=No"
395,STCOOK,Num,8,District steam used for cooking,"1=Yes
2=No"
396,HWCOOK,Num,8,District hot water used for cooking,"1=Yes
2=No"
397,WOCOOK,Num,8,Wood used for cooking,"1=Yes
2=No"
398,COCOOK,Num,8,Coal used for cooking,"1=Yes
2=No"
399,OTCOOK,Num,8,Other energy source used for cooking,"1=Yes
2=No"
400,ELMANU,Num,8,Electricity used for manufacturing,"1=Yes
2=No"
401,NGMANU,Num,8,Natural gas used for manufacturing,"1=Yes
2=No"
402,FKMANU,Num,8,Fuel oil used for manufacturing,"1=Yes
2=No"
403,PRMANU,Num,8,Propane used for manufacturing,"1=Yes
2=No"
404,STMANU,Num,8,District steam used for manufacturing,"1=Yes
2=No"
405,HWMANU,Num,8,District hot water used for manufacturing,"1=Yes
2=No"
406,WOMANU,Num,8,Wood used for manufacturing,"1=Yes
2=No"
407,COMANU,Num,8,Coal used for manufacturing,"1=Yes
2=No"
408,OTMANU,Num,8,Other energy source used for manufacturing,"1=Yes
2=No"
409,CAPGEN,Num,8,Electricity generation capability,"1=Yes
2=No"
410,PVC,Num,8,Solar panels used to generate electricity,"1=Yes
2=No
Missing=Not applicable"
411,ENGINE,Num,8,Reciprocating engine generator,"1=Yes
2=No
Missing=Not applicable"
412,FUELCL,Num,8,Fuel cells,"1=Yes
2=No
Missing=Not applicable"
413,LRGTRB,Num,8,Large turbines,"1=Yes
2=No
Missing=Not applicable"
414,MCROTB,Num,8,Microturbines,"1=Yes
2=No
Missing=Not applicable"
415,OTGENTECH,Num,8,Other type of generation technology,"1=Yes
2=No
Missing=Not applicable"
416,COGEN,Num,8,Cogeneration system,"1=Yes
2=No
Missing=Not applicable"
417,NGGENR,Num,8,Natural gas used for electricity generation,"1=Yes
2=No"
418,FKGENR,Num,8,Fuel oil used for electricity generation,"1=Yes
2=No"
419,PRGENR,Num,8,Propane used for electricity generation,"1=Yes
2=No"
420,WOGENR,Num,8,Wood used for electricity generation,"1=Yes
2=No"
421,COGENR,Num,8,Coal used for electricity generation,"1=Yes
2=No"
422,SOGENR,Num,8,Solar used for electricity generation,"1=Yes
2=No"
423,OTGENR,Num,8,Other energy source used for electricity generation,"1=Yes
2=No"
424,GENUSE,Num,8,Use of generated electricity,"1=Primarily for emergency backup or testing
2=During periods of high electricity demand
3=Whenever electricity was used
Missing=Not applicable"
425,GENGT1MW,Num,8,1MW generator capacity,"1=Yes
2=No
5=Don't know
Missing=Not applicable"
426,NGDRY,Num,8,Natural gas clothes dryers,"1=Yes
2=No
5=Don't know
Missing=Not applicable"
427,NGOTH,Num,8,Natural gas used for some other use,"1=Yes
2=No"
428,FKOTH,Num,8,Fuel oil used for some other use,"1=Yes
2=No"
429,PROTH,Num,8,Propane used for some other use,"1=Yes
2=No"
430,STOTH,Num,8,District steam used for some other use,"1=Yes
2=No"
431,HWOTH,Num,8,District hot water used for some other use,"1=Yes
2=No"
432,CWOTH,Num,8,District chilled water used for some other use,"1=Yes
2=No"
433,WOOTH,Num,8,Wood used for some other use,"1=Yes
2=No"
434,COOTH,Num,8,Coal used for some other use,"1=Yes
2=No"
435,SOOTH,Num,8,Solar used for some other use,"1=Yes
2=No"
436,OTOTH,Num,8,Other energy source used for some other use,"1=Yes
2=No"
437,PRAMTC,Num,8,Propane amount,"1=Less than 100
2=100 to 499
3=500 to 999
4=1,000 or more
Missing=Not applicable"
438,PRUNIT,Num,8,Propane units,"1=Gallons
2=Pounds
Missing=Not applicable"
439,WOAMT,Num,8,Amount wood burned,"1=Less than 1 cord
2=1 to 9 cords
3=10 to 20 cords
4=More than 20 cords
Missing=Not applicable"
440,WOSRC,Num,8,How obtain wood,"1=Purchased all the wood
2=Obtained it all free of charge
3=Some purchased and some free
Missing=Not applicable"
441,WOEXP,Num,8,Expenditures for wood,"50 - 12,155
Missing=Not applicable"
442,WOEXPC,Num,8,Wood expenditures category,"1=1 to 100
2=101 to 500
3=501 to 1,000
4=1,001 to 2,000
5=Over 2,000
Missing=Not applicable"
443,ENRGYPLN,Num,8,Energy management plan,"1=Yes
2=No
Missing=Not applicable"
444,SNACK,Num,8,"Snack bar, concession stand, coffee shop,  breakfast area","1=Yes
2=No
Missing=Not applicable"
445,FASTFD,Num,8,Fast food or small restaurant,"1=Yes
2=No
Missing=Not applicable"
446,CAF,Num,8,Cafeteria or large restaurant,"1=Yes
2=No
Missing=Not applicable"
447,FDPREP,Num,8,"Large kitchen, commercial kitchen, other large food prep area","1=Yes
2=No
Missing=Not applicable"
448,KITCHN,Num,8,Small kitchen area,"1=Yes
2=No
Missing=Not applicable"
449,BREAKRM,Num,8,"Employee lounge, break room, vending, pantry","1=Yes
2=No
Missing=Not applicable"
450,OTFDRM,Num,8,Other type of food preparation or serving area,"1=Yes
2=No
Missing=Not applicable"
451,SNACKSF,Num,8,Snack bar square footage,"50 - 90,000
Missing=Not applicable"
452,FASTFDSF,Num,8,Fast food square footage,"10 - 100,000
Missing=Not applicable"
453,CAFSF,Num,8,Cafeteria square footage,"270 - 108,000
Missing=Not applicable"
454,FDPREPSF,Num,8,Commercial kitchen square footage,"50 - 180,000
Missing=Not applicable"
455,HWTRM,Num,8,Large amounts of hot water,"1=Yes
2=No
Missing=Not applicable"
456,LAUNDR,Num,8,Laundry onsite,"1=In this building
2=In another building on-site
3=By an off-site laundry service
Missing=Not applicable"
457,CONFSP,Num,8,Conference or event space,"1=Yes
2=No
Missing=Not applicable"
458,CONFSPP,Num,8,Percent conference or event space,"1 - 100
Missing=Not applicable"
459,MEDEQP,Num,8,Medical equipment,"1=Yes
2=No
Missing=Not applicable"
460,XRAYN,Num,8,Number of X-ray machines,"0 - 20
995=More than 20
Missing=Not applicable"
461,CTSCAN,Num,8,CT scan machines,"1=Yes
2=No
Missing=Not applicable"
462,MRI,Num,8,MRI machines,"1=Yes
2=No
Missing=Not applicable"
463,LINACC,Num,8,Linear accelerators,"1=Yes
2=No
Missing=Not applicable"
464,OUTSURG,Num,8,Outpatient surgery,"1=Yes
2=No
Missing=Not applicable"
465,OUTHOSPPCT,Num,8,Percent of outpatient space in hospital,"1=0-20%
2=21-40%
3=41% or more
Missing=Not applicable"
466,LABEQP,Num,8,Laboratory equipment,"1=Yes
2=No
Missing=Not applicable"
467,MCHEQP,Num,8,Machine equipment,"1=Yes
2=No
Missing=Not applicable"
468,POOL,Num,8,Indoor pool,"1=Yes
2=No
Missing=Not applicable"
469,HTPOOL,Num,8,Heated pool,"1=Yes
2=No
Missing=Not applicable"
470,POOLSRC,Num,8,Pool energy source,"1=Electricity
2=Natural gas
3=Fuel oil/Diesel/Kerosene
4=Propane
5=Solar
6=Some other energy source
Missing=Not applicable"
471,STRLZR,Num,8,Sterilizers or autoclaves,"1=Yes
2=No
Missing=Not applicable"
472,RFGEQP,Num,8,Any refrigeration,"1=Yes
2=No
Missing=Not applicable"
473,RFGRES,Num,8,Full-size residential type refrigerators/freezers,"1=Yes
2=No
Missing=Not applicable"
474,RFGCOMP,Num,8,Half-size/compact refrigerators/freezers,"1=Yes
2=No
Missing=Not applicable"
475,RFGWI,Num,8,Walk-in refrigerators/freezers,"1=Yes
2=No
Missing=Not applicable"
476,RFGOP,Num,8,Open refrigerator/freezer cases or cabinets,"1=Yes
2=No
Missing=Not applicable"
477,RFGCL,Num,8,Closed refrigerator/freezer cases or cabinets,"1=Yes
2=No
Missing=Not applicable"
478,RFGVEN,Num,8,Refrigerated vending machines,"1=Yes
2=No
Missing=Not applicable"
479,RFGICE,Num,8,Commercial ice makers,"1=Yes
2=No
Missing=Not applicable"
480,RFGSTO,Num,8,Large cold storage areas,"1=Yes
2=No
Missing=Not applicable"
481,RFGRSN,Num,8,Number of residential refrigerators,"1 - 1,000
99995=More than 1,000
Missing=Not applicable"
482,RFGCOMPN,Num,8,Number of compact refrigerators,"1 - 1,000
9995=More than 1,000
Missing=Not applicable"
483,RFGWIN,Num,8,Number of walk-in units,"1 - 22
Missing=Not applicable"
484,RFGOPN,Num,8,Number of open refrigerated cases,"1 - 54
Missing=Not applicable"
485,RFGCLN,Num,8,Number of closed refrigerated cases,"1 - 107
Missing=Not applicable"
486,RFGVNN,Num,8,Number of vending machines,"1 - 50
Missing=Not applicable"
487,RFGICN,Num,8,Number of commercial ice makers,"1 - 100
Missing=Not applicable"
488,RFGSTP,Num,8,Percent cold storage,"1 - 97
Missing=Not appplicable"
489,WHRECOV,Num,8,Waste heat recovery,"1=Yes
2=No
Missing=Not applicable"
490,WHHT2,Num,8,Waste heat used for space heating,"1=Yes
2=No
Missing=Not applicable"
491,WHWT,Num,8,Waste heat used for water heating,"1=Yes
2=No
Missing=Not applicable"
492,WHOT,Num,8,Waste heat used for some other use,"1=Yes
2=No
Missing=Not applicable"
493,PCTERM,Num,8,Desktop computers,"1=Yes
2=No
Missing=Not applicable"
494,LAPTOP,Num,8,Laptops,"1=Yes
2=No
Missing=Not applicable"
495,TABLET,Num,8,Tablets,"1=Yes
2=No
Missing=Not applicable"
496,SERVER,Num,8,Servers,"1=Yes
2=No
Missing=Not applicable"
497,PCTERMN,Num,8,Number of desktop computers,"1 - 3,615
Missing=Not applicable"
498,PCTRMC,Num,8,Desktop computers category,"1=1 to 4
2=5 to 9
3=10 to 19
4=20 to 49
5=50 to 99
6=100 to 249
7=250 to 499
8=500 to 999
9=1,000 to 2,499
10=2,500 or more
Missing=Not applicable"
499,LAPTPN,Num,8,Number of laptops,"1 - 1,480
Missing=Not applicable"
500,LAPTPC,Num,8,Number of laptops category,"1=1 to 4
2=5 to 9
3=10 to 19
4=20 to 49
5=50 to 99
6=100 to 249
7=250 to 499
8=500 to 999
9=1,000 or more
Missing=Not applicable"
501,MLTMON,Num,8,Multiple monitors,"1=Yes
2=No
Missing=Not applicable"
502,MLTMNC,Num,8,Multiple monitor category,"1=All
2=Most
3=Some
4=A few
Missing=Not applicable"
503,TABCHRG,Num,8,Tablets charged in building,"1=Yes
2=No
Missing=Not applicable"
504,TABLETN,Num,8,Number of tablets,"1 - 1,410
Missing=Not applicable"
505,SRVUNIT,Num,8,Server units,"1=Servers
2=Server racks
Missing=Not applicable"
506,SERVERN,Num,8,Number of servers or racks,"1 - 500
9995=More than 500
Missing=Not applicable"
507,SERVERC,Num,8,Number of servers or racks category,"1=1 to 4
2=5 to 24
3=25 to 499
4=500 or more
Missing=Not applicable"
508,SRVRCLST,Num,8,Server closet,"1=Yes
2=No
Missing=Not applicable"
509,DATACNTR,Num,8,Data center,"1=Yes
2=No
Missing=Not applicable"
510,DCNTRSFC,Num,8,Data center sqft category,"1=500 square feet or less
2=501 - 1,500 square feet
3=1,501 - 3,000 square feet
4=3,001 - 10,000 square feet
5=More than 10,000 square feet
Missing=Not applicable"
511,TRNGRM,Num,8,Computer-based training room,"1=Yes
2=No
Missing=Not applicable"
512,STDNRM,Num,8,Student or public computer center,"1=Yes
2=No
Missing=Not applicable"
513,LGOFFDEV,Num,8,Large floor-standing office devices,"1=Yes
2=No
Missing=Not applicable"
514,SMOFFDEV,Num,8,Smaller desktop office devices,"1=Yes
2=No
Missing=Not applicable"
515,WBOARDS,Num,8,Interactive whiteboards,"1=Yes
2=No
Missing=Not applicable"
516,TVVIDEO,Num,8,Televisions or video displays,"1=Yes
2=No
Missing=Not applicable"
517,RGSTR,Num,8,Point-of-sales devices or cash register,"1=Yes
2=No
Missing=Not applicable"
518,LGOFFDEVN,Num,8,Number of large office devices,"1-500
9995=More than 500
Missing=Not applicable"
519,SMOFFDEVN,Num,8,Number of small office devices,"1-500
9995=More than 500
Missing=Not applicable"
520,WBOARDSN,Num,8,Number of interactive whiteboards,"1 - 200
9995=More than 200
Missing=Not applicable"
521,TVVIDEON,Num,8,Number of TV or video displays,"1 - 200
995=More than 200
Missing=Not applicable"
522,RGSTRN,Num,8,Number of point-of-sales or cash registers,"1 - 600
Missing=Not applicable"
523,ATMN,Num,8,Number of ATMs,"0 - 2
3=3 or more
Missing=Not applicable"
524,LTZHRP,Num,8,Percent lit no hours,"0 - 100
Missing=Not applicable"
525,LZHRPC,Num,8,Lit no hours category,"1=1 to 25 percent
2=26 to 50 percent
3=51 to 75 percent
4=76 to 100 percent
5=Not lit at all
Missing=Not applicable"
526,LTOHRP,Num,8,Percent lit when open,"0 - 100
Missing=Not applicable"
527,LOHRPC,Num,8,Lit when open category,"1=1 to 25 percent
2=26 to 50 percent
3=51 to 75 percent
4=76 to 100 percent
5=Not lit at all
Missing=Not applicable"
528,LTNR24,Num,8,Lights off during 24 hours,"1=Yes
2=No
Missing=Not applicable"
529,LTNHRP,Num,8,Percent lit off hours,"0 - 100
Missing=Not applicable"
530,LNHRPC,Num,8,Lit off hours category,"1=1 to 25 percent
2=26 to 50 percent
3=51 to 75 percent
4=76 to 100 percent
5=Not lit at all during off hours
Missing=Not applicable"
531,LIT,Num,8,Lighting used in building,"1=Yes
2=No"
532,FLUOR,Num,8,Fluorescent lighting,"1=Yes
2=No
Missing=Not applicable"
533,CFLR,Num,8,Compact fluorescent (CFL) bulbs,"1=Yes
2=No
Missing=Not applicable"
