category,file_order,col_name,col_type,length,format,col_description,codes,codes_dict
2,82.0,NWNPPR,Char,1.0,$MGRTYP.,Nonowner with purchasing power for energy-related equipment,"'1' = 'Property management company or leasing agent'
'2' = 'Business owner or tenant'
'3' = 'Facilities personnel employed directly by the building owner'
'4' = 'Facilities or energy management consultant'
'5' = 'Volunteer member of the organization'
'6' = 'Manager with general supervisory duties'
'7' = 'Other'
Missing = Not applicable","{'1': 'Property management company or leasing agent', '2': 'Business owner or tenant', '3': 'Facilities personnel employed directly by the building owner', '4': 'Facilities or energy management consultant', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', 'Missing': 'Not applicable'}"
2,83.0,NWNOPR,Char,1.0,$MGRTYP.,Nonowner responsible for operation and maintenance of energy systems,"'1' = 'Property management company or leasing agent'
'2' = 'Business owner or tenant'
'3' = 'Facilities personnel employed directly by the building owner'
'4' = 'Facilities or energy management consultant'
'5' = 'Volunteer member of the organization'
'6' = 'Manager with general supervisory duties'
'7' = 'Other'
Missing = Not applicable","{'1': 'Property management company or leasing agent', '2': 'Business owner or tenant', '3': 'Facilities personnel employed directly by the building owner', '4': 'Facilities or energy management consultant', '5': 'Volunteer member of the organization', '6': 'Manager with general supervisory duties', '7': 'Other', 'Missing': 'Not applicable'}"
2,84.0,WHOPPR,Char,1.0,$OPERTR.,Who has purchasing power,"'1' = 'Building owner'
'2' = 'Party responsible for building operations'
'3' = 'Both (either they have equal input, or are the same person)'
'4' = 'Other'
Missing = Not applicable","{'1': 'Building owner', '2': 'Party responsible for building operations', '3': 'Both (either they have equal input, or are the same person)', '4': 'Other', 'Missing': 'Not applicable'}"
3,85.0,MONUSE,Num,8.0,,Months in use,0 - 12,{'0 - 12': 'continuous numerical range'}
3,86.0,OCCUPYP,Num,8.0,,Percent occupancy,"0 - 100
Missing = Not applicable","{'0 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
3,87.0,LODOCCP,Num,8.0,,Lodging room percent occupancy,"0 - 100
Missing = Not applicable","{'0 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
3,88.0,OPEN24,Char,1.0,$YESNO.,Open 24 hours a day,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
3,89.0,OPNMF,Char,1.0,$DAYSOPN.,Open during week,"'1' = 'All five days'
'2' = 'Some of these days'
'3' = 'Not open at all Monday through Friday'","{'1': 'All five days', '2': 'Some of these days', '3': 'Not open at all Monday through Friday'}"
3,90.0,OPNWE,Char,1.0,$YESNO.,Open on weekend,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
3,91.0,WKHRS,Num,8.0,,Total hours open per week,0 - 168,{'0 - 168': 'continuous numerical range'}
3,92.0,WKHRSC,Char,1.0,$HRSCAT.,Weekly hours category,"'1' = 'No hours'
'2' = '1 to 39'
'3' = '40 to 48'
'4' = '49 to 60'
'5' = '61 to 84'
'6' = '85 to 167'
'7' = '168'","{'1': 'No hours', '2': '1 to 39', '3': '40 to 48', '4': '49 to 60', '5': '61 to 84', '6': '85 to 167', '7': '168'}"
3,93.0,NWKER,Num,8.0,COMMA6.,Number of employees,"0 - 6,500","{'0 - 6,500': 'continuous numerical range'}"
3,94.0,NWKERC,Char,2.0,$WORKCAT.,Number of employees category,"'01' = 'None'
'02' = '1 to 4'
'03' = '5 to 9'
'04' = '10 to 19'
'05' = '20 to 49'
'06' = '50 to 99'
'07' = '100 to 249'
'08' = '250 to 499'
'09' = '500 to 999'
'10' = '1,000 to 2,499'
'11' = '2,500 to 4,999'
'12' = '5,000 or More'","{'01': 'None', '02': '1 to 4', '03': '5 to 9', '04': '10 to 19', '05': '20 to 49', '06': '50 to 99', '07': '100 to 249', '08': '250 to 499', '09': '500 to 999', '10': '1,000 to 2,499', '11': '2,500 to 4,999', '12': '5,000 or More'}"
4,95.0,HT1,Char,1.0,$YESNO.,Energy used for main heating,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,96.0,HT2,Char,1.0,$YESNO.,Energy used for secondary heating,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,97.0,COOL,Char,1.0,$YESNO.,Energy used for cooling,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,98.0,WATR,Char,1.0,$YESNO.,Energy used for water heating,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,99.0,COOK,Char,1.0,$YESNO.,Energy used for cooking,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,100.0,MANU,Char,1.0,$YESNO.,Energy used for manufacturing,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,101.0,CAPGEN,Char,1.0,$YESNO.,Electricity generation capability,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,102.0,GENR,Char,1.0,$YESNO.,Energy used for electricity generation,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,103.0,ANYEGY,Char,1.0,$ANYEGY.,Any energy used,"1' = 'Yes, some energy was used in 2012'
'2' = 'No, no energy was used'","{'1': 'Yes, some energy was used in 2012', '2': 'No, no energy was used'}"
4,104.0,ELUSED,Char,1.0,$YESNO.,Electricity used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,105.0,NGUSED,Char,1.0,$YESNO.,Natural gas used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,106.0,FKUSED,Char,1.0,$YESNO.,Fuel oil/diesel/kerosene used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,107.0,FKTYPE,Char,1.0,$FKTYP.,"Specify fuel oil, diesel, or kerosene","'1' = 'Fuel oil'
'2' = 'Diesel'
'3' = 'Kerosene'
'4' = 'Fuel oil and diesel'
'5' = 'Fuel oil and kerosene'
'6' = 'Diesel and kerosene'
'7' = 'Fuel oil, diesel, and kerosene'
'9' ='Don't know'","{'1': 'Fuel oil', '2': 'Diesel', '3': 'Kerosene', '4': 'Fuel oil and diesel', '5': 'Fuel oil and kerosene', '6': 'Diesel and kerosene', '7': 'Fuel oil, diesel, and kerosene', '9': 'Dont know'}"
4,108.0,PRUSED,Char,1.0,$YESNO.,Bottled gas/LPG/propane used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,109.0,STUSED,Char,1.0,$YESNO.,District steam used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,110.0,HWUSED,Char,1.0,$YESNO.,District hot water used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,111.0,CWUSED,Char,1.0,$YESNO.,District chilled water used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,112.0,WOUSED,Char,1.0,$YESNO.,Wood used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,113.0,COUSED,Char,1.0,$YESNO.,Coal used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,114.0,SOUSED,Char,1.0,$YESNO.,Solar used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,115.0,OTUSED,Char,1.0,$YESNO.,Other energy source used,"'1' = 'Yes'
'2' = 'No'","{'1': 'Yes', '2': 'No'}"
4,116.0,ELHT1,Char,1.0,$YESNO.,Electricity used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,117.0,NGHT1,Char,1.0,$YESNO.,Natural gas used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,118.0,FKHT1,Char,1.0,$YESNO.,Fuel oil used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,119.0,PRHT1,Char,1.0,$YESNO.,Propane used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,120.0,STHT1,Char,1.0,$YESNO.,District steam used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,121.0,HWHT1,Char,1.0,$YESNO.,District hot water used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,122.0,WOHT1,Char,1.0,$YESNO.,Wood used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,123.0,COHT1,Char,1.0,$YESNO.,Coal used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,124.0,SOHT1,Char,1.0,$YESNO.,Solar used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,125.0,OTHT1,Char,1.0,$YESNO.,Other source used for main heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,126.0,ELHT2,Char,1.0,$YESNO.,Electricity used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,127.0,NGHT2,Char,1.0,$YESNO.,Natural gas used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,128.0,FKHT2,Char,1.0,$YESNO.,Fuel oil used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,129.0,PRHT2,Char,1.0,$YESNO.,Propane used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,130.0,STHT2,Char,1.0,$YESNO.,District steam used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,131.0,HWHT2,Char,1.0,$YESNO.,District hot water used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,132.0,WOHT2,Char,1.0,$YESNO.,Wood used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,133.0,COHT2,Char,1.0,$YESNO.,Coal used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,134.0,SOHT2,Char,1.0,$YESNO.,Solar used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,135.0,OTHT2,Char,1.0,$YESNO.,Other source used for secondary heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,136.0,HEATP,Num,8.0,,Percent heated,"0 - 100
Missing = Not applicable","{'0 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,137.0,HTLS50,Char,1.0,$YESNO.,Heated to less than 50 degrees,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,138.0,FURNAC,Char,1.0,$YESNO.,Furnaces that heat air directly,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,139.0,PKGHT,Char,1.0,$YESNO.,Packaged heating units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,140.0,BOILER,Char,1.0,$YESNO.,Boilers inside the building,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,141.0,STHW,Char,1.0,$YESNO.,District steam or hot water piped in,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,142.0,HTPMPH,Char,1.0,$YESNO.,Heat pumps for heating,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,143.0,SLFCON,Char,1.0,$YESNO.,Individual space heaters,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,144.0,OTHTEQ,Char,1.0,$YESNO.,Other heating equipment,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,145.0,FURNP,Num,8.0,,Percent heated by furnace,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,146.0,PKGHP,Num,8.0,,Percent heated by packaged heating,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,147.0,BOILP,Num,8.0,,Percent heated by boiler,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,148.0,STHWP,Num,8.0,,Percent heated by dist steam/hot water,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,149.0,HTPHP,Num,8.0,,Percent heated by heat pumps,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,150.0,SLFCNP,Num,8.0,,Percent heated by individual space heaters,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,151.0,OTHTP,Num,8.0,,Percent heated by other heating equipment,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,152.0,MAINHT,Char,1.0,$HTEQP.,Main heating equipment,"'1' = 'Furnaces that heat air directly, without using steam or hot water'
'2' = 'Packaged central unit (roof mounted)'
'3' = 'Boilers inside (or adjacent to) the building that produce steam or hot water'
'4' = 'District steam or hot water piped in from outside the building'
'5' = 'Heat pumps (other than components of a packaged unit)'
'6' = 'Individual space heaters (other than heat pumps)'
'7' = 'Other heating equipment'
Missing = Not applicable","{'1': 'Furnaces that heat air directly, without using steam or hot water', '2': 'Packaged central unit (roof mounted)', '3': 'Boilers inside (or adjacent to) the building that produce steam or hot water', '4': 'District steam or hot water piped in from outside the building', '5': 'Heat pumps (other than components of a packaged unit)', '6': 'Individual space heaters (other than heat pumps)', '7': 'Other heating equipment', 'Missing': 'Not applicable'}"
4,153.0,NWMNHT,Char,1.0,$YESNO.,Main heating replaced,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,154.0,PKGHTTYP,Char,1.0,$PKGTYP.,Type of packaged heating,"'1' = 'Factory-assembled unitary packaged unit'
'2' = 'Custom built-up packaged unit'
'3' = 'Both factory-assembled and custom built-up packaged units'
Missing = Not applicable","{'1': 'Factory-assembled unitary packaged unit', '2': 'Custom built-up packaged unit', '3': 'Both factory-assembled and custom built-up packaged units', 'Missing': 'Not applicable'}"
4,155.0,PKGFURN,Char,1.0,$YESNO.,Packaged heating component: Furnace,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,156.0,PKGHTP,Char,1.0,$YESNO.,Packaged heating component: Heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,157.0,PKGCOIL,Char,1.0,$YESNO.,Packaged heating component: Heating coil,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,158.0,PKGPIU,Char,1.0,$YESNO.,Packaged heating component: Powered induction unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,159.0,PKGDUCT,Char,1.0,$YESNO.,Packaged heating component: Duct reheat,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,160.0,BLRRAD,Char,1.0,$YESNO.,Boiler system: Radiators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,161.0,BLRFNCL,Char,1.0,$YESNO.,Boiler system: Fan coil units in rooms,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,162.0,BLRINDC,Char,1.0,$YESNO.,Boiler system: Induction units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,163.0,BLRLOOP,Char,1.0,$YESNO.,Boiler system: Water loop heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,164.0,BLRAIR,Char,1.0,$YESNO.,Boiler system: Central air handler,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,165.0,BLRPKG,Char,1.0,$YESNO.,Boiler system: Packaged unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,166.0,BLRDUCT,Char,1.0,$YESNO.,Boiler system: Duct reheat,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,167.0,DHRAD,Char,1.0,$YESNO.,District heat system: Radiators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,168.0,DHFNCL,Char,1.0,$YESNO.,District heat system: Fan coil units in rooms,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,169.0,DHINDC,Char,1.0,$YESNO.,District heat system: Induction units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,170.0,DHLOOP,Char,1.0,$YESNO.,District heat system: Water loop heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,171.0,DHAIR,Char,1.0,$YESNO.,District heat system: Central air handler,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,172.0,DHPKG,Char,1.0,$YESNO.,District heat system: Packaged unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,173.0,DHDUCT,Char,1.0,$YESNO.,District heat system: Duct reheat,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,174.0,HPHPKG,Char,1.0,$YESNO.,Heat pump heating system: Packaged unit,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,175.0,HPHSPLT,Char,1.0,$YESNO.,Heat pump heating system: Split system,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,176.0,HPHROOM,Char,1.0,$YESNO.,Heat pump heating system: Individual room heat pump,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,177.0,HPHMINI,Char,1.0,$YESNO.,Heat pump heating system: Ductless mini-split,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,178.0,HPHVRF,Char,1.0,$YESNO.,Heat pump heating system: Variable refrigerant flow,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,179.0,HPHAIR,Char,1.0,$YESNO.,Heat pump heating type: Air source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,180.0,HPHGRD,Char,1.0,$YESNO.,Heat pump heating type: Ground source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,181.0,HPHDUAL,Char,1.0,$YESNO.,Heat pump heating type: Dual source,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,182.0,HPHWTR,Char,1.0,$YESNO.,Heat pump heating type: Water loop,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,183.0,HPHBKUP,Char,1.0,$HPBKUP.,Heat pump backup energy source,"'1' = 'Electric resistance backup'
'2' = 'Natural/bottled gas backup (dual fuel)'
'3' = 'No backup source'
Missing = Not applicable","{'1': 'Electric resistance backup', '2': 'Natural/bottled gas backup (dual fuel)', '3': 'No backup source', 'Missing': 'Not applicable'}"
4,184.0,SHRDNT,Char,1.0,$YESNO.,Individual heater: Infrared radiant,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,185.0,SHBBRD,Char,1.0,$YESNO.,Individual heater: Baseboard,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,186.0,SHPORT,Char,1.0,$YESNO.,Individual heater: Portable space heater,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,187.0,SHWALL,Char,1.0,$YESNO.,Individual heater: Wall heater,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,188.0,SHFURN,Char,1.0,$YESNO.,Individual heater: Individual furnace,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,189.0,SHUNIT,Char,1.0,$YESNO.,Individual heater: Unit heater,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,190.0,SHPTAC,Char,1.0,$YESNO.,Individual heater: Heating element in PTAC,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,191.0,OTSTRP,Char,1.0,$YESNO.,Other heat component: Heating coil or heat strip,"'1' = 'Yes'
'2' = 'No'
'9' = Don't know'
Missing = Not applicable","{'1': 'Yes', '2': 'No', '9': 'Dont know', 'Missing': 'Not applicable'}"
4,192.0,OTDUCT,Char,1.0,$YESNO.,Other heat component: Duct or electric reheat,"'1' = 'Yes'
'2' = 'No'
'9' = Don't know'
Missing = Not applicable","{'1': 'Yes', '2': 'No', '9': 'Dont know', 'Missing': 'Not applicable'}"
4,193.0,OTPIU,Char,1.0,$YESNO.,Other heat component: Powered induction units,"'1' = 'Yes'
'2' = 'No'
'9' = Don't know'
Missing = Not applicable","{'1': 'Yes', '2': 'No', '9': 'Dont know', 'Missing': 'Not applicable'}"
4,194.0,HTVCAV,Char,1.0,$YESNO.,Heating ventilation: Central air handling with CAV,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,195.0,HTVVAV,Char,1.0,$YESNO.,Heating ventilation: Central air handling with VAV,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,196.0,HTVFLR,Char,1.0,$YESNO.,Heating ventilation: Underfloor air distribution,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,197.0,HTVOAS,Char,1.0,$YESNO.,Heating ventilation: Dedicated outside air system,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,198.0,HTVDEM,Char,1.0,$YESNO.,Heating ventilation: Demand controlled ventilation,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,199.0,HTVNON,Char,1.0,$YESNO.,Heating ventilation: None of these,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,200.0,ELCOOL,Char,1.0,$YESNO.,Electricity used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,201.0,NGCOOL,Char,1.0,$YESNO.,Natural gas used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,202.0,FKCOOL,Char,1.0,$YESNO.,Fuel oil used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,203.0,PRCOOL,Char,1.0,$YESNO.,Propane used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,204.0,STCOOL,Char,1.0,$YESNO.,District steam  used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,205.0,HWCOOL,Char,1.0,$YESNO.,District hot water used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,206.0,CWCOOL,Char,1.0,$YESNO.,District chilled water used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,207.0,OTCOOL,Char,1.0,$YESNO.,Other source used for cooling,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,208.0,COOLP,Num,8.0,,Percent cooled,"1 - 100
Missing = Not applicable","{'1 - 100': 'continuous numerical range', 'Missing': 'Not applicable'}"
4,209.0,RCAC,Char,1.0,$YESNO.,Residential type central A/C,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
4,210.0,PKGCL,Char,1.0,$YESNO.,Packaged A/C units,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable","{'1': 'Yes', '2': 'No', 'Missing': 'Not applicable'}"
